st_name,dose1,dose2,total_doses,last_dose1,last_dose2,last_total_doses,date
Maharashtra,1100898,184183,1285081,1063187,173817,1237004,2021-03-02
Manipur,57280,3116,60396,53805,2653,56458,2021-03-02
Meghalaya,32539,2042,34581,31202,1920,33122,2021-03-02
Mizoram,25374,8092,33466,22819,6694,29513,2021-03-02
Nagaland,31432,5678,37110,30251,5579,35830,2021-03-02
Odisha,499346,169152,668498,475608,165127,640735,2021-03-02
Puducherry,10994,1595,12589,10292,1474,11766,2021-03-02
Punjab,169159,40211,209370,161361,38683,200044,2021-03-02
Rajasthan,1005225,256548,1261773,863992,245561,1109553,2021-03-02
Sikkim,18428,2002,20430,17516,1882,19398,2021-03-02
Tamil Nadu,450651,71403,522054,414032,66379,480411,2021-03-02
Telangana,303387,131942,435329,294255,130019,424274,2021-03-02
Tripura,93639,24230,117869,90990,22780,113770,2021-03-02
Uttar Pradesh,1178302,310119,1488421,1178302,310119,1488421,2021-03-02
Uttarakhand,149030,25532,174562,143835,21677,165512,2021-03-02
West Bengal,1025696,167186,1192882,975574,148584,1124158,2021-03-02
Miscellaneous,802509,50555,853064,708575,49083,757658,2021-03-02
Andaman and Nicobar,6912,2589,9501,6912,2589,9501,2021-03-03
Andhra Pradesh,574200,148401,722601,554530,144834,699364,2021-03-03
Arunachal Pradesh,29711,7451,37162,29580,7451,37031,2021-03-03
Assam,238570,31836,270406,220573,30730,251303,2021-03-03
Bihar,583179,109203,692382,569040,91556,660596,2021-03-03
Chandigarh,24832,2159,26991,22299,1966,24265,2021-03-03
Chhattisgarh,419066,71624,490690,398574,61489,460063,2021-03-03
Dadra and Nagar Haveli and Daman and Diu,8915,1090,10005,8052,901,8953,2021-03-03
Delhi,423800,48011,471811,402942,43815,446757,2021-03-03
Goa,26530,3971,30501,23200,3208,26408,2021-03-03
Gujarat,1028606,200859,1229465,979651,191852,1171503,2021-03-03
Haryana,236507,78055,314562,231579,76796,308375,2021-03-03
Himachal Pradesh,106114,33984,140098,104268,29736,134004,2021-03-03
Jammu and Kashmir,262045,18096,280141,262045,18096,280141,2021-03-03
Jharkhand,305650,39270,344920,295125,32454,327579,2021-03-03
Karnataka,637890,219212,857102,619620,216730,836350,2021-03-03
Kerala,573353,128161,701514,541951,120762,662713,2021-03-03
Ladakh,9582,896,10478,9226,829,10055,2021-03-03
Lakshadweep,2413,803,3216,2413,803,3216,2021-03-03
Madhya Pradesh,721751,204455,926206,671302,183795,855097,2021-03-03
Maharashtra,1168251,200658,1368909,1100898,184183,1285081,2021-03-03
Manipur,60566,3523,64089,57280,3116,60396,2021-03-03
Meghalaya,33984,2228,36212,32539,2042,34581,2021-03-03
Mizoram,28350,9036,37386,25374,8092,33466,2021-03-03
Nagaland,33810,5766,39576,31432,5678,37110,2021-03-03
Odisha,525494,171264,696758,499346,169152,668498,2021-03-03
Puducherry,12948,1897,14845,10994,1595,12589,2021-03-03
Punjab,179181,42234,221415,169159,40211,209370,2021-03-03
Rajasthan,1220438,269794,1490232,1005225,256548,1261773,2021-03-03
Sikkim,19675,2243,21918,18428,2002,20430,2021-03-03
Tamil Nadu,510361,78030,588391,450651,71403,522054,2021-03-03
Telangana,318861,131942,450803,303387,131942,435329,2021-03-03
Tripura,94404,25227,119631,93639,24230,117869,2021-03-03
Uttar Pradesh,1178302,310119,1488421,1178302,310119,1488421,2021-03-03
Uttarakhand,154382,31411,185793,149030,25532,174562,2021-03-03
West Bengal,1090793,189165,1279958,1025696,167186,1192882,2021-03-03
Miscellaneous,889695,52264,941959,802509,50555,853064,2021-03-03
Andaman and Nicobar,6912,2589,9501,6912,2589,9501,2021-03-04
Andhra Pradesh,594085,154853,748938,574200,148401,722601,2021-03-04
Arunachal Pradesh,32733,8097,40830,29711,7451,37162,2021-03-04
Assam,279061,37045,316106,238570,31836,270406,2021-03-04
Bihar,601638,140711,742349,583179,109203,692382,2021-03-04
Chandigarh,27336,2505,29841,24832,2159,26991,2021-03-04
Chhattisgarh,446330,88875,535205,419066,71624,490690,2021-03-04
Dadra and Nagar Haveli and Daman and Diu,9627,1340,10967,8915,1090,10005,2021-03-04
Delhi,446950,52820,499770,423800,48011,471811,2021-03-04
Goa,30473,5009,35482,26530,3971,30501,2021-03-04
Gujarat,1156897,264864,1421761,1028606,200859,1229465,2021-03-04
Haryana,251481,81934,333415,236507,78055,314562,2021-03-04
Himachal Pradesh,110698,39206,149904,106114,33984,140098,2021-03-04
Jammu and Kashmir,279250,20168,299418,262045,18096,280141,2021-03-04
Jharkhand,315807,45675,361482,305650,39270,344920,2021-03-04
Karnataka,656627,222409,879036,637890,219212,857102,2021-03-04
Kerala,662393,148454,810847,573353,128161,701514,2021-03-04
Ladakh,11471,1413,12884,9582,896,10478,2021-03-04
Lakshadweep,2413,803,3216,2413,803,3216,2021-03-04
Madhya Pradesh,778691,220200,998891,721751,204455,926206,2021-03-04
Maharashtra,1254197,217253,1471450,1168251,200658,1368909,2021-03-04
Manipur,62649,3774,66423,60566,3523,64089,2021-03-04
Meghalaya,35382,2539,37921,33984,2228,36212,2021-03-04
Mizoram,30949,9109,40058,28350,9036,37386,2021-03-04
Nagaland,35222,5918,41140,33810,5766,39576,2021-03-04
Odisha,569475,185176,754651,525494,171264,696758,2021-03-04
Puducherry,14542,2020,16562,12948,1897,14845,2021-03-04
Punjab,191228,44470,235698,179181,42234,221415,2021-03-04
Rajasthan,1326074,283269,1609343,1220438,269794,1490232,2021-03-04
Sikkim,21341,2689,24030,19675,2243,21918,2021-03-04
Tamil Nadu,585353,84064,669417,510361,78030,588391,2021-03-04
Telangana,340068,131942,472010,318861,131942,450803,2021-03-04
Tripura,98906,26908,125814,94404,25227,119631,2021-03-04
Uttar Pradesh,1228226,364486,1592712,1178302,310119,1488421,2021-03-04
Uttarakhand,164776,41582,206358,154382,31411,185793,2021-03-04
West Bengal,1165605,210948,1376553,1090793,189165,1279958,2021-03-04
Miscellaneous,971969,53551,1025520,889695,52264,941959,2021-03-04
Andaman and Nicobar,8392,2727,11119,6912,2589,9501,2021-03-05
Andhra Pradesh,619712,166166,785878,594085,154853,748938,2021-03-05
Arunachal Pradesh,34966,8952,43918,32733,8097,40830,2021-03-05
Assam,312558,45061,357619,279061,37045,316106,2021-03-05
Bihar,623488,165419,788907,601638,140711,742349,2021-03-05
Chandigarh,29803,2816,32619,27336,2505,29841,2021-03-05
Chhattisgarh,476352,103785,580137,446330,88875,535205,2021-03-05
Dadra and Nagar Haveli and Daman and Diu,10563,1532,12097,9627,1340,10967,2021-03-05
Delhi,468847,57980,526827,446950,52820,499770,2021-03-05
Goa,33856,5910,39766,30473,5009,35482,2021-03-05
Gujarat,1295464,309655,1605119,1156897,264864,1421761,2021-03-05
Haryana,268976,84784,353760,251481,81934,333415,2021-03-05
Himachal Pradesh,117053,42818,159871,110698,39206,149904,2021-03-05
Jammu and Kashmir,295633,23015,318648,279250,20168,299418,2021-03-05
Jharkhand,327826,54239,382065,315807,45675,361482,2021-03-05
Karnataka,681345,228257,909602,656627,222409,879036,2021-03-05
Kerala,736363,166495,902858,662393,148454,810847,2021-03-05
Ladakh,12616,1883,14499,11471,1413,12884,2021-03-05
Lakshadweep,2482,818,3300,2413,803,3216,2021-03-05
Madhya Pradesh,788184,221423,1009607,778691,220200,998891,2021-03-05
Maharashtra,1359974,237484,1597458,1254197,217253,1471450,2021-03-05
Manipur,65465,4290,69755,62649,3774,66423,2021-03-05
Meghalaya,38512,3412,41924,35382,2539,37921,2021-03-05
Mizoram,31804,9171,40975,30949,9109,40058,2021-03-05
Nagaland,35901,5994,41895,35222,5918,41140,2021-03-05
Odisha,590213,188517,778730,569475,185176,754651,2021-03-05
Puducherry,15431,2070,17501,14542,2020,16562,2021-03-05
Punjab,205837,47018,252855,191228,44470,235698,2021-03-05
Rajasthan,1585089,306029,1891118,1326074,283269,1609343,2021-03-05
Sikkim,23234,3759,26993,21341,2689,24030,2021-03-05
Tamil Nadu,670563,91062,761625,585353,84064,669417,2021-03-05
Telangana,354107,131942,486049,340068,131942,472010,2021-03-05
Tripura,103590,29091,132681,98906,26908,125814,2021-03-05
Uttar Pradesh,1291419,410242,1701661,1228226,364486,1592712,2021-03-05
Uttarakhand,176012,49018,225030,164776,41582,206358,2021-03-05
West Bengal,1253831,233229,1487060,1165605,210948,1376553,2021-03-05
Miscellaneous,1051222,54958,1106180,971969,53551,1025520,2021-03-05
Andaman and Nicobar,8977,2865,11842,8392,2727,11119,2021-03-06
Andhra Pradesh,651309,182716,834025,619712,166166,785878,2021-03-06
Arunachal Pradesh,36210,9457,45667,34966,8952,43918,2021-03-06
Assam,343888,50513,394401,312558,45061,357619,2021-03-06
Bihar,650391,191841,842232,623488,165419,788907,2021-03-06
Chandigarh,32210,3140,35350,29803,2816,32619,2021-03-06
Chhattisgarh,512080,120670,632750,476352,103785,580137,2021-03-06
Dadra and Nagar Haveli and Daman and Diu,11501,1725,13226,10563,1532,12095,2021-03-06
Delhi,494939,65135,560074,468847,57980,526827,2021-03-06
Goa,36733,6318,43051,33856,5910,39766,2021-03-06
Gujarat,1420465,344516,1764981,1295464,309655,1605119,2021-03-06
Haryana,278910,86086,364996,268976,84784,353760,2021-03-06
Himachal Pradesh,122400,45581,167981,117053,42818,159871,2021-03-06
Jammu and Kashmir,312827,26397,339224,295633,23015,318648,2021-03-06
Jharkhand,338631,61491,400122,327826,54239,382065,2021-03-06
Karnataka,703891,235607,939498,681345,228257,909602,2021-03-06
Kerala,819410,183899,1003309,736363,166495,902858,2021-03-06
Ladakh,14599,2135,16734,12616,1883,14499,2021-03-06
Lakshadweep,2638,832,3470,2482,818,3300,2021-03-06
Madhya Pradesh,858101,234666,1092767,788184,221423,1009607,2021-03-06
Maharashtra,1482838,261582,1744420,1359974,237484,1597458,2021-03-06
Manipur,68405,5009,73414,65465,4290,69755,2021-03-06
Meghalaya,40902,3981,44883,38512,3412,41924,2021-03-06
Mizoram,32984,9213,42197,31804,9171,40975,2021-03-06
Nagaland,36626,6043,42669,35901,5994,41895,2021-03-06
Odisha,623512,198600,822112,590213,188517,778730,2021-03-06
Puducherry,16536,2311,18847,15431,2070,17501,2021-03-06
Punjab,217550,49427,266977,205837,47018,252855,2021-03-06
Rajasthan,1802425,329018,2131443,1585089,306029,1891118,2021-03-06
Sikkim,24714,4148,28862,23234,3759,26993,2021-03-06
Tamil Nadu,749180,97917,847097,670563,91062,761625,2021-03-06
Telangana,378962,131942,510904,354107,131942,486049,2021-03-06
Tripura,105394,29827,135221,103590,29091,132681,2021-03-06
Uttar Pradesh,1300671,411044,1711715,1291419,410242,1701661,2021-03-06
Uttarakhand,188803,54089,242892,176012,49018,225030,2021-03-06
West Bengal,1332857,247942,1580799,1253831,233229,1487060,2021-03-06
Miscellaneous,1115834,56358,1172192,1051222,54958,1106180,2021-03-06
Andaman and Nicobar,9187,2865,12052,8977,2865,11842,2021-03-07
Andhra Pradesh,651309,182716,834025,651309,182716,834025,2021-03-07
Arunachal Pradesh,36210,9457,45667,36210,9457,45667,2021-03-07
Assam,354334,51060,405394,343888,50513,394401,2021-03-07
Bihar,650391,191841,842232,650391,191841,842232,2021-03-07
Chandigarh,32210,3140,35350,32210,3140,35350,2021-03-07
Chhattisgarh,513728,120922,634650,512080,120670,632750,2021-03-07
Dadra and Nagar Haveli and Daman and Diu,11501,1725,13226,11501,1725,13226,2021-03-07
Delhi,494939,65135,560074,494939,65135,560074,2021-03-07
Goa,36740,6318,43058,36733,6318,43051,2021-03-07
Gujarat,1421113,344594,1765707,1420465,344516,1764981,2021-03-07
Haryana,279531,86121,365652,278910,86086,364996,2021-03-07
Himachal Pradesh,124695,45758,170453,122400,45581,167981,2021-03-07
Jammu and Kashmir,312827,26397,339224,312827,26397,339224,2021-03-07
Jharkhand,342209,64047,406256,338631,61491,400122,2021-03-07
Karnataka,704249,235677,939926,703891,235607,939498,2021-03-07
Kerala,835572,185422,1020994,819410,183899,1003309,2021-03-07
Ladakh,14599,2135,16734,14599,2135,16734,2021-03-07
Lakshadweep,2638,832,3470,2638,832,3470,2021-03-07
Madhya Pradesh,858101,234666,1092767,858101,234666,1092767,2021-03-07
Maharashtra,1484440,261625,1746065,1482838,261582,1744420,2021-03-07
Manipur,68467,5027,73494,68405,5009,73414,2021-03-07
Meghalaya,40902,4048,44950,40902,3981,44883,2021-03-07
Mizoram,32984,9213,42197,32984,9213,42197,2021-03-07
Nagaland,36626,6043,42669,36626,6043,42669,2021-03-07
Odisha,623512,198600,822112,623512,198600,822112,2021-03-07
Puducherry,16536,2311,18847,16536,2311,18847,2021-03-07
Punjab,218937,49508,268445,217550,49427,266977,2021-03-07
Rajasthan,1806825,329424,2136249,1802425,329018,2131443,2021-03-07
Sikkim,24714,4148,28862,24714,4148,28862,2021-03-07
Tamil Nadu,749180,97917,847097,749180,97917,847097,2021-03-07
Telangana,378962,131942,510904,378962,131942,510904,2021-03-07
Tripura,105394,29827,135221,105394,29827,135221,2021-03-07
Uttar Pradesh,1300671,411044,1711715,1300671,411044,1711715,2021-03-07
Uttarakhand,189624,54158,243782,188803,54089,242892,2021-03-07
West Bengal,1343071,248797,1591868,1332857,247942,1580799,2021-03-07
Miscellaneous,1120975,56647,1177622,1115834,56358,1172192,2021-03-07
Andaman and Nicobar,9890,2998,12888,9187,2865,12052,2021-03-08
Andhra Pradesh,686405,195839,882244,651309,182716,834025,2021-03-08
Arunachal Pradesh,38211,10263,48474,36210,9457,45667,2021-03-08
Assam,382808,58891,441699,354334,51060,405394,2021-03-08
Bihar,822286,222083,1044369,650391,191841,842232,2021-03-08
Chandigarh,35181,3625,38806,32210,3140,35350,2021-03-08
Chhattisgarh,549916,133822,683738,513728,120922,634650,2021-03-08
Dadra and Nagar Haveli and Daman and Diu,12139,1859,13998,11501,1725,13226,2021-03-08
Delhi,523361,72451,595812,494939,65135,560074,2021-03-08
Goa,40162,6639,46801,36740,6318,43058,2021-03-08
Gujarat,1589197,363951,1953148,1421113,344594,1765707,2021-03-08
Haryana,306498,91809,398307,279531,86121,365652,2021-03-08
Himachal Pradesh,130571,48673,179244,124695,45758,170453,2021-03-08
Jammu and Kashmir,333595,31206,364801,312827,26397,339224,2021-03-08
Jharkhand,354915,74678,429593,342209,64047,406256,2021-03-08
Karnataka,760524,252671,1013195,704249,235677,939926,2021-03-08
Kerala,926083,203608,1129691,835572,185422,1020994,2021-03-08
Ladakh,17072,2236,19308,14599,2135,16734,2021-03-08
Lakshadweep,2784,854,3638,2638,832,3470,2021-03-08
Madhya Pradesh,927953,248379,1176332,858101,234666,1092767,2021-03-08
Maharashtra,1654605,285764,1940369,1484440,261625,1746065,2021-03-08
Manipur,70581,6248,76829,68467,5027,73494,2021-03-08
Meghalaya,43008,4680,47688,40902,4048,44950,2021-03-08
Mizoram,34814,9276,44090,32984,9213,42197,2021-03-08
Nagaland,39036,6433,45469,36626,6043,42669,2021-03-08
Odisha,676209,231787,907996,623512,198600,822112,2021-03-08
Puducherry,18109,2509,20618,16536,2311,18847,2021-03-08
Punjab,235739,52365,288104,218937,49508,268445,2021-03-08
Rajasthan,1979962,347013,2326975,1806825,329424,2136249,2021-03-08
Sikkim,27392,5099,32491,24714,4148,28862,2021-03-08
Tamil Nadu,852767,104581,957348,749180,97917,847097,2021-03-08
Telangana,413824,143154,556978,378962,131942,510904,2021-03-08
Tripura,111205,33469,144674,105394,29827,135221,2021-03-08
Uttar Pradesh,1501803,416526,1918329,1300671,411044,1711715,2021-03-08
Uttarakhand,206404,59922,266326,189624,54158,243782,2021-03-08
West Bengal,1460507,269515,1730022,1343071,248797,1591868,2021-03-08
Miscellaneous,1167767,60574,1228341,1120975,56647,1177622,2021-03-08
Andaman and Nicobar,10433,3037,13470,9890,2998,12888,2021-03-09
Andhra Pradesh,721786,208374,930160,686405,195839,882244,2021-03-09
Arunachal Pradesh,39733,10651,50384,38211,10263,48474,2021-03-09
Assam,404131,65256,469387,382808,58891,441699,2021-03-09
Bihar,875735,244396,1120131,822286,222083,1044369,2021-03-09
Chandigarh,37475,4125,41600,35181,3625,38806,2021-03-09
Chhattisgarh,579308,144952,724260,549916,133822,683738,2021-03-09
Dadra and Nagar Haveli and Daman and Diu,12560,2092,14652,12139,1859,13998,2021-03-09
Delhi,549097,80954,630051,523361,72451,595812,2021-03-09
Goa,43354,7055,50409,40162,6639,46801,2021-03-09
Gujarat,1709970,407287,2117257,1589197,363951,1953148,2021-03-09
Haryana,332536,100219,432755,306498,91809,398307,2021-03-09
Himachal Pradesh,147343,56024,203367,130571,48673,179244,2021-03-09
Jammu and Kashmir,355149,37332,392481,333595,31206,364801,2021-03-09
Jharkhand,366244,88551,454795,354915,74678,429593,2021-03-09
Karnataka,806664,264374,1071038,760524,252671,1013195,2021-03-09
Kerala,1012344,221228,1233572,926083,203608,1129691,2021-03-09
Ladakh,19919,2313,22232,17072,2236,19308,2021-03-09
Lakshadweep,3066,902,3968,2784,854,3638,2021-03-09
Madhya Pradesh,933934,248697,1182631,927953,248379,1176332,2021-03-09
Maharashtra,1783789,305357,2089146,1654605,285764,1940369,2021-03-09
Manipur,72387,6643,79030,70581,6248,76829,2021-03-09
Meghalaya,44814,5534,50348,43008,4680,47688,2021-03-09
Mizoram,37761,9400,47161,34814,9276,44090,2021-03-09
Nagaland,40755,6924,47679,39036,6433,45469,2021-03-09
Odisha,716886,255039,971925,676209,231787,907996,2021-03-09
Puducherry,19275,2803,22078,18109,2509,20618,2021-03-09
Punjab,251631,55914,307545,235739,52365,288104,2021-03-09
Rajasthan,2019948,367849,2387797,1979962,347013,2326975,2021-03-09
Sikkim,29847,5862,35709,27392,5099,32491,2021-03-09
Tamil Nadu,925927,111897,1037824,852767,104581,957348,2021-03-09
Telangana,438673,155505,594178,413824,143154,556978,2021-03-09
Tripura,115500,37446,152946,111205,33469,144674,2021-03-09
Uttar Pradesh,1518536,416986,1935522,1501803,416526,1918329,2021-03-09
Uttarakhand,223578,65695,289273,206404,59922,266326,2021-03-09
West Bengal,1596083,292981,1889064,1460507,269515,1730022,2021-03-09
Miscellaneous,1208056,64025,1272081,1167767,60574,1228341,2021-03-09
Andaman and Nicobar,10749,3048,13797,10433,3037,13470,2021-03-10
Andhra Pradesh,756593,216646,973239,721786,208374,930160,2021-03-10
Arunachal Pradesh,39733,10651,50384,39733,10651,50384,2021-03-10
Assam,419158,68981,488139,404131,65256,469387,2021-03-10
Bihar,918099,261191,1179290,875735,244396,1120131,2021-03-10
Chandigarh,39856,4611,44467,37475,4125,41600,2021-03-10
Chhattisgarh,614651,160112,774763,579308,144952,724260,2021-03-10
Dadra and Nagar Haveli and Daman and Diu,13214,2342,15556,12560,2092,14652,2021-03-10
Delhi,571616,89375,660991,549097,80954,630051,2021-03-10
Goa,46796,7819,54615,43354,7055,50409,2021-03-10
Gujarat,1734671,428253,2162924,1709970,407287,2117257,2021-03-10
Haryana,348452,103317,451769,332536,100219,432755,2021-03-10
Himachal Pradesh,154500,59081,213581,147343,56024,203367,2021-03-10
Jammu and Kashmir,355348,37021,392369,355149,37332,392481,2021-03-10
Jharkhand,377431,95656,473087,366244,88551,454795,2021-03-10
Karnataka,882327,281517,1163844,806664,264374,1071038,2021-03-10
Kerala,1056499,232717,1289216,1012344,221228,1233572,2021-03-10
Ladakh,22924,2514,25438,19919,2313,22232,2021-03-10
Lakshadweep,3066,902,3968,3066,902,3968,2021-03-10
Madhya Pradesh,1012791,275183,1287974,933934,248697,1182631,2021-03-10
Maharashtra,1981629,336067,2317696,1783789,305357,2089146,2021-03-10
Manipur,73510,7902,81412,72387,6643,79030,2021-03-10
Meghalaya,46525,6390,52915,44814,5534,50348,2021-03-10
Mizoram,41288,9799,51087,37761,9400,47161,2021-03-10
Nagaland,42504,7777,50281,40755,6924,47679,2021-03-10
Odisha,744937,271999,1016936,716886,255039,971925,2021-03-10
Puducherry,20967,3040,24007,19275,2803,22078,2021-03-10
Punjab,265625,59042,324667,251631,55914,307545,2021-03-10
Rajasthan,2102124,408794,2510918,2019948,367849,2387797,2021-03-10
Sikkim,33256,6394,39650,29847,5862,35709,2021-03-10
Tamil Nadu,1005619,119105,1124724,925927,111897,1037824,2021-03-10
Telangana,459769,163865,623634,438673,155505,594178,2021-03-10
Tripura,116345,38565,154910,115500,37446,152946,2021-03-10
Uttar Pradesh,1539060,417448,1956508,1518536,416986,1935522,2021-03-10
Uttarakhand,234765,69933,304698,223578,65695,289273,2021-03-10
West Bengal,1712338,313261,2025599,1596083,292981,1889064,2021-03-10
Miscellaneous,1235746,70212,1305958,1208056,64025,1272081,2021-03-10
Andaman and Nicobar,11228,3060,14288,10749,3048,13797,2021-03-11
Andhra Pradesh,763896,217825,981721,756593,216646,973239,2021-03-11
Arunachal Pradesh,42096,11290,53386,39733,10651,50384,2021-03-11
Assam,436022,72959,508981,419158,68981,488139,2021-03-11
Bihar,918099,261191,1179290,918099,261191,1179290,2021-03-11
Chandigarh,40727,4690,45417,39856,4611,44467,2021-03-11
Chhattisgarh,618339,161209,779548,614651,160112,774763,2021-03-11
Dadra and Nagar Haveli and Daman and Diu,13214,2342,15556,13214,2342,15556,2021-03-11
Delhi,593382,97050,690432,571616,89375,660991,2021-03-11
Goa,48076,8767,56843,46796,7819,54615,2021-03-11
Gujarat,1744972,428773,2173745,1734671,428253,2162924,2021-03-11
Haryana,357300,104396,461696,348452,103317,451769,2021-03-11
Himachal Pradesh,154957,59331,214288,154500,59081,213581,2021-03-11
Jammu and Kashmir,356152,37216,393368,355348,37021,392369,2021-03-11
Jharkhand,386915,102099,489014,377431,95656,473087,2021-03-11
Karnataka,899482,284476,1183958,882327,281517,1163844,2021-03-11
Kerala,1105629,240623,1346252,1056499,232717,1289216,2021-03-11
Ladakh,25706,2725,28431,22924,2514,25438,2021-03-11
Lakshadweep,3066,902,3968,3066,902,3968,2021-03-11
Madhya Pradesh,1012791,275183,1287974,1012791,275183,1287974,2021-03-11
Maharashtra,2053729,344672,2398401,1981629,336067,2317696,2021-03-11
Manipur,74320,8682,83002,73510,7902,81412,2021-03-11
Meghalaya,48569,7518,56087,46525,6390,52915,2021-03-11
Mizoram,42920,9946,52866,41288,9799,51087,2021-03-11
Nagaland,43972,9008,52980,42504,7777,50281,2021-03-11
Odisha,747398,272809,1020207,744937,271999,1016936,2021-03-11
Puducherry,22330,3228,25558,20967,3040,24007,2021-03-11
Punjab,271423,59522,330945,265625,59042,324667,2021-03-11
Rajasthan,2102606,408812,2511418,2102124,408794,2510918,2021-03-11
Sikkim,36339,7150,43489,33256,6394,39650,2021-03-11
Tamil Nadu,1078862,126323,1205185,1005619,119105,1124724,2021-03-11
Telangana,459769,163865,623634,459769,163865,623634,2021-03-11
Tripura,117161,39571,156732,116345,38565,154910,2021-03-11
Uttar Pradesh,1541820,417492,1959312,1539060,417448,1956508,2021-03-11
Uttarakhand,237395,70576,307971,234765,69933,304698,2021-03-11
West Bengal,1768499,323763,2092262,1712338,313261,2025599,2021-03-11
Miscellaneous,1256680,80035,1336715,1235746,70212,1305958,2021-03-11
Andaman and Nicobar,11729,3145,14874,11228,3060,14288,2021-03-12
Andhra Pradesh,804344,227582,1031926,763896,217825,981721,2021-03-12
Arunachal Pradesh,43894,11815,55709,42096,11290,53386,2021-03-12
Assam,450937,77240,528177,436022,72959,508981,2021-03-12
Bihar,1031520,283345,1314865,918099,261191,1179290,2021-03-12
Chandigarh,42914,5120,48034,40727,4690,45417,2021-03-12
Chhattisgarh,651528,176659,828187,618339,161209,779548,2021-03-12
Dadra and Nagar Haveli and Daman and Diu,14038,2650,16688,13214,2342,15556,2021-03-12
Delhi,614404,106603,721007,593382,97050,690432,2021-03-12
Goa,52051,10122,62173,48076,8767,56843,2021-03-12
Gujarat,1871835,476040,2347875,1744972,428773,2173745,2021-03-12
Haryana,391275,110641,501916,357300,104396,461696,2021-03-12
Himachal Pradesh,170902,65691,236593,154957,59331,214288,2021-03-12
Jammu and Kashmir,356564,37255,393819,356152,37216,393368,2021-03-12
Jharkhand,404078,115956,520034,386915,102099,489014,2021-03-12
Karnataka,999834,300328,1300162,899482,284476,1183958,2021-03-12
Kerala,1211414,257856,1469270,1105629,240623,1346252,2021-03-12
Ladakh,28226,2821,31047,25706,2725,28431,2021-03-12
Lakshadweep,3066,902,3968,3066,902,3968,2021-03-12
Madhya Pradesh,1016958,277856,1294814,1012791,275183,1287974,2021-03-12
